Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29305-27229,RB,Ameer,Ameer Abdullah,Abdullah,0.899999976,2,4500,SEA@DET,DET,SEA,Q,Ankle,
29305-31329,WR,Russell,Russell Shepard,Shepard,2.700000127,3,4500,WAS@NYG,NYG,WAS,Q,Neck,
29305-56931,RB,Robert,Robert Martin,Martin,0,0,4500,WAS@NYG,NYG,WAS,,,
29305-7784,WR,Darrius,Darrius Heyward-Bey,Heyward-Bey,2.979999924,5,4500,CLE@PIT,PIT,CLE,Q,Ankle,
29305-55912,WR,Saeed,Saeed Blacknall,Blacknall,0,0,4500,IND@OAK,OAK,IND,,,
29305-38514,WR,Kevin,Kevin White,White,7.400000095,1,4500,NYJ@CHI,CHI,NYJ,,,
29305-33403,WR,Tevin,Tevin Jones,Jones,0,0,4500,CLE@PIT,PIT,CLE,,,
29305-27273,RB,Andy,Andy Janovich,Janovich,1.833333333,3,4500,DEN@KC,DEN,KC,,,
29305-33424,WR,Mose,Mose Frazier,Frazier,0,0,4500,BAL@CAR,CAR,BAL,,,
29305-56977,WR,Simmie,Simmie Cobbs Jr.,Cobbs Jr.,0,0,4500,WAS@NYG,WAS,NYG,,,
29305-40602,WR,Kermit,Kermit Whitfield,Whitfield,0,0,4500,TB@CIN,CIN,TB,,,
29305-52897,RB,Darrel,Darrel Williams,Williams,0,0,4500,DEN@KC,KC,DEN,,,
29305-40612,WR,Bobo,Bobo Wilson,Wilson,3.03333346,3,4500,TB@CIN,TB,CIN,,,
29305-29351,WR,De'Anthony,De'Anthony Thomas,Thomas,2.2,5,4500,DEN@KC,KC,DEN,IR,Lower leg,
29305-84648,WR,Josh,Josh Crockett,Crockett,0,0,4500,DEN@KC,KC,DEN,,,
29305-71359,WR,Javon,Javon Wims,Wims,0,1,4500,NYJ@CHI,CHI,NYJ,,,
29305-30403,WR,Chris,Chris Conley,Conley,3.842857088,7,4500,DEN@KC,KC,DEN,,,
29305-52931,RB,Elijhaa,Elijhaa Penny,Penny,0.100000001,2,4500,WAS@NYG,NYG,WAS,,,
29305-70341,WR,Moritz,Moritz Boehringer,Boehringer,0,0,4500,TB@CIN,CIN,TB,,,
29305-38624,RB,T.J.,T.J. Logan,Logan,0,1,4500,SF@ARI,ARI,SF,,,
29305-39649,RB,Benny,Benny Cunningham,Cunningham,0.44000001,5,4500,NYJ@CHI,CHI,NYJ,,,
29305-57064,RB,Ryan,Ryan Nall,Nall,0,0,4500,NYJ@CHI,CHI,NYJ,,,
29305-38634,WR,Ryan,Ryan Switzer,Switzer,3.433333397,6,4500,CLE@PIT,PIT,CLE,,,
29305-56051,WR,Caleb,Caleb Scott,Scott,0,0,4500,SEA@DET,SEA,DET,,,
29305-56059,WR,Trent,Trent Sherfield,Sherfield,0,0,4500,SF@ARI,ARI,SF,,,
29305-57091,WR,Tim,Tim Patrick,Patrick,1.399999936,3,4500,DEN@KC,DEN,KC,,,
29305-45835,WR,Da'Mari,Da'Mari Scott,Scott,0,0,4500,CLE@PIT,CLE,PIT,,,
29305-41741,WR,DaeSean,DaeSean Hamilton,Hamilton,1.966666698,3,4500,DEN@KC,DEN,KC,Q,Knee,
29305-33552,WR,TJ,TJ Jones,Jones,1.699999968,3,4500,SEA@DET,DET,SEA,,,
29305-70422,WR,Kalif,Kalif Raymond,Raymond,-0.050000001,8,4500,WAS@NYG,NYG,WAS,,,
29305-97046,WR,Frank,Frank Stephens,Stephens,0,0,4500,SF@ARI,SF,ARI,,,
29305-31524,WR,Cody,Cody Core,Core,2.25,2,4500,TB@CIN,CIN,TB,,,
29305-55088,WR,Malik,Malik Turner,Turner,0,0,4500,SEA@DET,SEA,DET,,,
29305-27441,RB,Damien,Damien Williams,Williams,0.680000019,5,4500,DEN@KC,KC,DEN,,,
29305-22336,WR,Josh,Josh Bellamy,Bellamy,2.575000048,4,4500,NYJ@CHI,CHI,NYJ,,,
29305-55113,RB,Shaun,Shaun Wilson,Wilson,1.133333365,3,4500,TB@CIN,TB,CIN,,,
29305-64339,WR,Auden,Auden Tate,Tate,0,0,4500,TB@CIN,CIN,TB,,,
29305-58202,RB,Ryan,Ryan Yurachek,Yurachek,0,0,4500,IND@OAK,OAK,IND,,,
29305-44893,RB,Roosevelt,Roosevelt Nix,Nix,0.800000032,3,4500,CLE@PIT,PIT,CLE,,,
